account,token_id,actual_stake,boostType,boostRank,transferred_nft_types
0xa9442a8d6cef7b5e90362623ac463b6c37a92e33,18429,12529.8685,Network_registry,community,[40 26 41 32 38]
0x31ca1c809847d21e0e5fc0a435e1c0ae447cb015,18428,2059.7371,Network_registry,community,[40 41 26]
0xfe9f4e4fc884fbab008947c09c6bd7ecab1d9510,18422,24796.833884337746,Network_registry,community,[26 35]
0xa73662c9920489cd46fde4564e6a553241980345,18421,2156.3166,Network_registry,community,[26]
0x95fde42b9536df6e99093625a71cc13e6bef31a9,18420,2174.2377,Network_registry,community,[26]
0x67fe0f933ac7363bcfb30a507ce4ab604fdbdfc3,18419,2306.5355,Network_registry,community,[41 26 40]
0xb22981ba3fe1de2325935c91a3b717168fb86714,18417,1282.2995999999998,Network_registry,community,[26]
0x90c5fcf198e24708eb57c5ca665daa6ea7c84bc7,18416,2168.264,Network_registry,community,[26]
0x45bddb0763ba8c629c419c46588443735fe3db8d,18415,2168.264,Network_registry,community,[26]
0xf369a3f6507ffcc770dbdccfeee31632de9c0e27,18414,2168.264,Network_registry,community,[26]
0x6a6e0a753c927cbd77c1cf97820a5ad496b74a16,18412,25984.192987108632,Network_registry,community,[26]
0x9bb23cfb422c7c3bb7a8ae827cb0fb4749e66e47,18411,2168.264,Network_registry,community,[26]
0x717cbd24e56ec60911f92a92255ba6ba284d2381,18410,2168.264,Network_registry,community,[26]
0x44643b46350575eb3bf0823b50c7c2bd2788c2f2,18402,10552.4767,Network_registry,community,[26]
0xf6c3a3f411f68bf56eb681bf8b3a25fc3fdcdd42,18401,10545.9914,Network_registry,community,[26]
0x9685081ecbc6c27c3a52f89e306ed798727dba2e,18400,10664.4241,Network_registry,community,[26]
0xef6f8a8c65d2f0b8e5b51c411ec6d65d599f203f,18399,10985.111834168105,Network_registry,community,[26]
0x6709767b2d94de1c894b4c5ef370466bec1498c9,18398,20791.786701469347,Network_registry,community,[26]
0x43bfcadfde1326383789f0eccb48086f26d7bdd7,18396,2509.1257,Network_registry,community,[40 41 26]
0xa70c08f3e86483d5fcbb5c8bcd976bcd794596db,18394,2484.7193,Network_registry,community,[41 26 40]
0x2786fc3e6f1dc4b22c8638b8521ff1c5f1cd9873,18393,2503.4932000000003,Network_registry,community,[26 41]
0x690698f71a1fe7d18e0d06ab23f837b032d36d7b,18392,2218.7186676077827,Network_registry,community,[40 26]
0x9025296d7caa64c10e1f2be2e42c1b966d232378,18391,2440.224,Network_registry,community,[26 40]
0x7427d4839a7e92e91acbf0d05d0f9e68e3a0af95,18390,2220.0537,Network_registry,community,[26 40]
0xd75a27303de07eaa363d55766131daa73ae56b3a,18388,2574.2535,Network_registry,community,[26]
0x7eafb53a104e166e643fe8ce965050bbece725e2,18381,2679.2178,Network_registry,community,[26]
0xc944a66e069d2a5c0eee706555028a36ca062be3,18380,2686.0209,Network_registry,community,[26]
0x6fe0a80e6269fcedc079aa57c203eb9ed2ded48f,18379,2735.0045999999998,Network_registry,community,[26]
0xf4a6789a43ab69265bb97e0776e94919537fdb38,18378,2686.3621,Network_registry,community,[26]
0x17a3e30211ac061c6176a09aeb3bf7e56d368ff3,18374,2958.030654748355,Network_registry,community,[26 40]
0xd1904114df0c0ad06c8c312a57fcfc9de29daa04,18373,2992.2673837599027,Network_registry,community,[26 40]
0x302f8bdc93bc0fdcadd358d8cdfb7a3fdf3e9c1d,18372,2944.551953911229,Network_registry,community,[40 26]
0x66249b437aa74624de85e416091f7c7debb0b1ed,18367,4221.113123096431,Network_registry,community,[40 26]
0x503f4449382febcda13797c2fb40554175249cb1,18057,5083.1918,Network_registry,community,[26 40]
0x532ae13882fa77fe70f444a83c1020f07ea15fb4,18055,3078.7487,Network_registry,community,[41 26]
0xe6ec4cbe4535c0c49fead4542d53a572e5abbb33,18052,3022.1325,Network_registry,community,[26 40]
0x3cec2ec3863a3dc217616779dd2af6f3d4f5e205,18051,3045.7287,Network_registry,community,[26]
0x4a5294ee54ef7efc84970655dd58d9ec540b7202,18050,3368.8192,Network_registry,community,[40 26]
0x8a216a56e44c77858f623fbaa68a040cee9bea97,18048,5690.391972116809,Network_registry,community,[40 26 34]
0xee1401bc875aaf08e761cc9227058ad383c22b77,18047,3044.6618,Network_registry,community,[26]
0x0f980c4362b14eb99a4914aff12c952cab44698e,18046,3016.2090000000003,Network_registry,community,[29 40 26]
0x14e420926f1383331ca099be86fb04dcf177961f,18045,3018.33133094484,Network_registry,community,[26]
0x975cd81f07aebd0b5dffac2330ab99d010c30430,18043,3246.9507,Network_registry,community,[29 40 26 41]
0x57b3593a5ced095a40e8ccfe47ecbcc3dc69e501,18042,3295.8113999999996,Network_registry,community,[26]
0x4319ac8eeadca1cc80aac4a12ead04fe255b892e,18041,3846.1102,Network_registry,community,[40 26]
0x77d05812dacac1a61397728e06c80031e875fe61,18040,3896.7851,Network_registry,community,[26 40]
0xad89335d1fc16c5389fb43d1fdacc943bea1b41b,18039,3296.1102,Network_registry,community,[26]
0x606e8d44189d62ffdc84f8bc601bfead1c8588dc,18038,3251.7773,Network_registry,community,[26 40]
0x2cadf6e2a495deb91f3670171d4d76c15fbd846f,18037,3233.8995,Network_registry,community,[26]
0x2465ae2634950c80a5ea3222fdb060ab552b4c26,18036,3277.0800000000004,Network_registry,community,[26]
0x186f9e31664fe094079746ab59b7b24000588df3,18035,3295.8113999999996,Network_registry,community,[26]
0x730da4dcf123da0248e95904946aadab97dd47ea,18034,5513.133233292425,Network_registry,community,[26 40 34]
0x71078189ff9057e2256525cf9b37edd6fcda720c,18033,5791.8363995670725,Network_registry,community,[40 26 34]
0x378aa43f8a44150fb88ad7f6ce8a0349460f8c12,18032,3252.9721999999997,Network_registry,community,[40 26 41]
0x8e3474526d9018d45e6db3fc174cf9e376b53cfe,18031,2825.1044880543905,Network_registry,community,[26]
0x491c386b324abe99a2c6e90e83850e3e04021796,18030,3181.8314,Network_registry,community,[26 37 41 40]
0x09ad1dc3dd5ebe57adf8f8a1aece103b4f266bf7,18029,4217.053681245577,Network_registry,community,[40 32 41 26]
0x78e87757861185ec5e8c0ef6bf0c69fa7832df6c,18028,5787.079067124038,Network_registry,community,[26 29 40 35]
0x07339ecf97528e964aa42d9741a0e98065b685fe,18027,3563.6017,Network_registry,community,[40 26 41]
0xf10f44a8e5cf50ff65a98798bdea150b96c0e249,18026,3289.6671,Network_registry,community,[26 40]
0x0235db3d9de8f976044e67eb464b18b2f0fd4894,18025,2945.301041640575,Network_registry,community,[26]
0x8a4a86314e11f7854b9247c31279f36f44d2f180,18024,3958.6621,Network_registry,community,[40 26]
0x2be8991ec09f4d91cc4a18e30746ea6125c4b077,18023,3208.0718050630585,Network_registry,community,[39 35 29 34 26 41 40 32]
0x0b5a3054e7d7c25c23ee8b7fd7cba3d2660bc6a0,18022,8942.141407823814,Network_registry,community,[26 29 35 34]
