account,actual_stake,rewards_till_now,collected_rewards,rewards_to_collect_till_now,projected_rewards,projected_rewards_to_collect,daily_growth,now_utc,now_epoch,last_sync_time,last_sync_time_epoch,last_sync_reward,last_redeem_time,last_redeem_time_epoch,last_collect_time,last_collect_time_epoch,program_start_epoch,program_start,program_end_epoch,program_end,APR,total_boost,allstaked_rewards_without_boost,allstaked_rewards_with_boost,voting_power
0x31500ba0c44f5da8ec9a9a58cc6e075ac9582d6c,538801.2062790571,6741.201837037274,6741.201837037274,0,6741.201837037274,0,76.64675999211417,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 12:23:50.000 UTC,1.69037423e+09,6741.201837037274,2023-05-29 06:36:35.000 UTC,1.685342195e+09,2023-07-26 12:23:50.000 UTC,1.69037423e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,8.5,1677.5631592823895,6974.85515928239,734.0307938220692
0xce4d4bf74cf639d99c26803f6dbc0a8054329c16,350712.7852062588,10592.94133704649,10592.94133704649,0,10592.94133704649,0,116.43542751816103,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-27 08:36:30.000 UTC,1.69044699e+09,10592.94133704649,2023-04-26 12:34:10.000 UTC,1.68251245e+09,2023-07-27 08:36:30.000 UTC,1.69044699e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,15.25,1091.947904152653,10595.623904152653,592.2100853635126
0xb731ef1d26227e1edf48f9833e6b48eb11154917,313425.1797111678,395.79717833747674,0,395.79717833747674,395.79717833747674,395.79717833747674,10.723654468709782,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-06-19 14:11:20.000 UTC,1.68718388e+09,0,,0,,0,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,0,975.85255665259,975.85255665259,559.8438886968114
0x9254dc142566bbdefa0d44411d67cc47d3ce41bf,310205.07303981605,7608.203107598552,7608.203107598552,0,7608.203107598552,0,89.38868045101347,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 14:44:15.000 UTC,1.690382655e+09,7608.203107598552,2023-06-26 14:22:25.000 UTC,1.687789345e+09,2023-07-26 14:44:15.000 UTC,1.690382655e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,11.5,965.8267210422268,8134.369921042226,556.9605668625168
0x5bffcd8f4809e29bcace4c9c21e0c3b6963ecec1,295790.0458184778,24915.76468185299,24915.76468185299,0,24915.76468185299,0,314.9178789436518,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-27 15:47:00.000 UTC,1.69047282e+09,24915.76468185299,2023-07-08 17:19:55.000 UTC,1.688836795e+09,2023-07-27 15:46:55.000 UTC,1.690472815e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,44.5,920.9453838723072,28657.526983872307,543.865834391606
0x7598515a12966a3a64859f567d78de4c403025ef,286188.6290069505,4368.48089107824,4368.48089107824,0,4368.48089107824,0,50.896572228295405,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 14:56:40.000 UTC,1.6903834e+09,4368.48089107824,2023-05-24 15:03:10.000 UTC,1.68494059e+09,2023-07-26 14:56:25.000 UTC,1.690383385e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,6,891.051272774882,4631.588072774882,534.9660073378031
0xbbbffd989e9c06cd0808ba1be8cbc2ca1b160f8b,255580.38054039484,6821.6868826937225,6821.6868826937225,0,6821.6868826937225,0,80.67252937196128,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 12:53:40.000 UTC,1.69037602e+09,6821.6868826937225,2023-06-26 14:39:15.000 UTC,1.687790355e+09,2023-07-26 12:53:20.000 UTC,1.690376e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,10.5,795.752172848477,7341.200172848477,505.5495826725553
0xd8b00122b6cc0d44fb3198fb675635272d516b7f,253946.3695,26963.613837203797,26963.613837203797,0,26963.613837203797,0,310.05182266462083,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 15:06:25.000 UTC,1.690383985e+09,26963.613837203797,2023-07-09 17:37:55.000 UTC,1.688924275e+09,2023-07-26 15:06:25.000 UTC,1.690383985e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,44,790.6646624804928,28214.71586248049,503.9309173884849
0x7d3a7ad44bfcfc0962709ece4c149128717906b8,253751.9279,26218.540739214706,26218.540739214706,0,26218.540739214706,0,320.3051699619418,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 14:08:45.000 UTC,1.690380525e+09,26218.540739214706,2023-07-02 10:32:50.000 UTC,1.68829397e+09,2023-07-26 14:08:45.000 UTC,1.690380525e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,45.5,790.0592665367003,29147.7704665367,503.737955588022
0x12ee827ae3b9390560eec8d6ac1685d8df99faf4,253678.07789999997,3286.36552270792,3286.36552270792,0,3286.36552270792,0,37.79624322850176,2023-08-16 11:35:42.601 UTC,1.692185742601e+09,2023-07-26 12:32:35.000 UTC,1.690374755e+09,3286.36552270792,2023-04-30 09:29:45.000 UTC,1.682846985e+09,2023-07-26 12:32:05.000 UTC,1.690374725e+09,1.6825104e+09,2023-04-26 12:00:00.000 UTC,1.6903728e+09,2023-07-26 12:00:00.000 UTC,1.25,4.25,789.8293337936601,3439.45813379366,503.6646482531804
